"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"patientid","integer",3242,0,1236,627.755706354102,634,634,NA,354.229336545281,NA,1,1236,1235,-0.0364058905964263,-0.423324445357338,-1.18168102249936,-6.8723549475329,NA,NA
"date_proactive_mt","character",3242,0,1885,NA,NA,9,"2023-01-09",NA,0.999269306575746,NA,NA,NA,NA,NA,NA,NA,NA,NA
"questionnairestart","character",3134,0.0333127698951265,1840,NA,NA,108,NA,NA,0.999252898302538,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entry_belongs_to","character",3242,0,5,NA,NA,2167,"both",NA,0.503710552545039,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k_cis4","integer",2318,0.285009253547193,26,12.5306298533218,12,12,NA,6.94237099346963,NA,4,28,24,0.457707583351975,4.50111362643607,-0.914455436006825,-4.49832811268815,NA,NA
"k_pedsql_fatigue_8_18_algemeen_mean","numeric",2312,0.286859962985811,26,73.7095415224913,79.17,79.17,NA,21.4215468926479,NA,0,100,100,-0.725197161865024,-7.12239230746148,-0.141086071919475,-0.69312431809263,NA,NA
"k_pedsql_fatigue_8_18_cognitief_mean","numeric",2312,0.286859962985811,26,73.525687716263,75,75,NA,23.3176882706202,NA,0,100,100,-0.78281944693827,-7.68831912229977,-0.0323835142644842,-0.159092963158153,NA,NA
"k_pedsql_fatigue_8_18_slaap_mean","numeric",2312,0.286859962985811,24,70.0961764705882,70.83,70.83,NA,18.0881136659707,NA,4.17,100,95.83,-0.290589157050788,-2.85396866624178,-0.327265950558603,-1.60778442357751,NA,NA
"o_pedsql_fatigue_2_18_algemeen_mean","numeric",2618,0.192473781616286,26,72.9133728036669,75,75,NA,23.6869486459357,NA,0,100,100,-0.661447734962435,-6.91231243358659,-0.417285118895716,-2.18120311496862,NA,NA
"o_pedsql_fatigue_2_18_cognitief_mean","numeric",2618,0.192473781616286,26,75.1574025974026,79.17,79.17,NA,24.9230323759266,NA,0,100,100,-0.871764290597745,-9.11017881918942,-0.0394412051737851,-0.206164264402336,NA,NA
